source,target,value
ST26Q07,ST26Q10,-0.576778
ST26Q02,ST26Q04,1.878247
ST26Q09,ST26Q14,0.216421
ST26Q05,ST26Q09,-1.770212
ST26Q08,ST26Q13,-2.257781
ST26Q03,ST26Q09,0.019300
ST26Q06,ST26Q14,2.756493
ST26Q01,ST26Q08,-0.650209
ST26Q02,ST26Q07,-1.115286
ST26Q01,ST26Q11,0.003213
ST26Q08,ST26Q12,-0.406126
ST26Q03,ST26Q06,2.339760
ST26Q02,ST26Q12,2.248409
ST26Q06,ST26Q09,0.004614
ST26Q07,ST26Q08,-1.459103
ST26Q04,ST26Q11,-0.059157
ST26Q07,ST26Q11,-1.708789
ST26Q09,ST26Q11,-1.412387
ST26Q05,ST26Q14,-0.410657
ST26Q03,ST26Q14,2.753136
ST26Q10,ST26Q12,2.750458
ST26Q01,ST26Q05,-0.435210
ST26Q04,ST26Q06,2.982410
ST26Q12,ST26Q14,3.466704
ST26Q05,ST26Q11,-1.699129
ST26Q03,ST26Q07,-0.600898
ST26Q08,ST26Q11,-1.865456
ST26Q06,ST26Q12,2.910173
ST26Q05,ST26Q06,-0.373870
ST26Q11,ST26Q14,0.004943
ST26Q02,ST26Q05,-0.974026
ST26Q01,ST26Q13,0.114194
ST26Q04,ST26Q10,2.066675
ST26Q03,ST26Q04,2.504501
ST26Q02,ST26Q10,1.347855
ST26Q01,ST26Q02,1.938207
ST26Q04,ST26Q13,0.184391
ST26Q07,ST26Q09,-1.685266
ST26Q02,ST26Q13,-0.226575
ST26Q09,ST26Q13,-1.359492
ST26Q08,ST26Q14,-0.664051
ST26Q03,ST26Q12,3.022040
ST26Q01,ST26Q07,-0.440318
ST26Q07,ST26Q14,-0.514717
ST26Q02,ST26Q08,-1.246885
ST26Q01,ST26Q10,2.273229
ST26Q08,ST26Q09,-1.735896
ST26Q03,ST26Q05,-0.532349
ST26Q10,ST26Q13,-0.323014
ST26Q06,ST26Q10,1.912563
ST26Q05,ST26Q08,-2.317144
ST26Q11,ST26Q12,0.190921
ST26Q06,ST26Q07,-0.719067
ST26Q04,ST26Q12,3.087746
ST26Q09,ST26Q10,-0.132485
ST26Q05,ST26Q13,-1.895322
ST26Q03,ST26Q13,0.026880
ST26Q04,ST26Q08,-0.855033
ST26Q01,ST26Q04,2.724917
ST26Q02,ST26Q03,1.885641
ST26Q05,ST26Q10,-0.673835
ST26Q03,ST26Q10,2.091433
ST26Q13,ST26Q14,0.323755
ST26Q06,ST26Q13,0.163711
ST26Q11,ST26Q13,-1.631898
ST26Q02,ST26Q06,1.778698
ST26Q01,ST26Q12,3.233970
ST26Q04,ST26Q07,-0.635152
ST26Q02,ST26Q11,-0.609817
ST26Q04,ST26Q14,2.887680
ST26Q07,ST26Q12,-0.250201
ST26Q02,ST26Q14,2.113288
ST26Q09,ST26Q12,0.346331
ST26Q03,ST26Q11,-0.149334
ST26Q10,ST26Q11,-0.105975
ST26Q01,ST26Q06,2.562936
ST26Q07,ST26Q13,-2.156914
ST26Q01,ST26Q09,0.140126
ST26Q12,ST26Q13,0.327504
ST26Q05,ST26Q12,-0.297699
ST26Q08,ST26Q10,-0.724052
ST26Q03,ST26Q08,-0.761931
ST26Q10,ST26Q14,2.362768
ST26Q06,ST26Q11,-0.135327
ST26Q05,ST26Q07,-2.176935
ST26Q04,ST26Q05,-0.234691
ST26Q06,ST26Q08,-0.955488
ST26Q01,ST26Q14,2.940884
ST26Q04,ST26Q09,0.072669
ST26Q02,ST26Q09,-0.391604
ST26Q01,ST26Q03,2.701127
